Date,Open,High,Low,Close,Adj Close,Volume,Stock Name
04-11-2021,332.8900146,336.5400085,329.5100098,336.4400024,332.7080688,23992200,MSFT
05-11-2021,338.5100098,338.7900085,334.4200134,336.0599976,332.3323059,22570100,MSFT
08-11-2021,337.2999878,337.6499939,334.4400024,336.9899902,333.2519531,20897000,MSFT
09-11-2021,337.1099854,338.7200012,334.5299988,335.9500122,332.2235107,21307400,MSFT
10-11-2021,334.5700073,334.6300049,329.9200134,330.7999878,327.1306152,25500900,MSFT
11-11-2021,331.25,333.769989,330.5100098,332.4299927,328.7425537,16849800,MSFT
12-11-2021,333.9200134,337.230011,333.7900085,336.7200012,332.9849854,23831000,MSFT
15-11-2021,337.5400085,337.8800049,334.0299988,336.0700073,332.3421936,16723000,MSFT
16-11-2021,335.6799927,340.6700134,335.5100098,339.5100098,335.7440491,20886800,MSFT
17-11-2021,338.9400024,342.1900024,338,339.1199951,335.9718933,19053400,MSFT
18-11-2021,338.1799927,342.4500122,337.1199951,341.269989,338.1019287,22463500,MSFT
19-11-2021,342.6400146,345.1000061,342.2000122,343.1099854,339.9248047,21963400,MSFT
22-11-2021,344.6199951,349.6700134,339.5499878,339.8299866,336.6753235,31031100,MSFT
23-11-2021,337.0499878,339.4500122,333.5599976,337.6799927,334.5452576,30427600,MSFT
24-11-2021,336.2799988,338.1600037,333.9100037,337.9100037,334.7731018,21661300,MSFT
26-11-2021,334.3500061,337.9299927,328.1199951,329.6799927,326.6195068,24217200,MSFT
29-11-2021,334.9400024,339.0299988,334.7399902,336.6300049,333.5050049,28563500,MSFT
30-11-2021,335.3200073,337.7799988,328.9899902,330.5899963,327.5210876,42885600,MSFT
01-12-2021,335.1300049,339.2799988,329.3900146,330.0799866,327.0158081,33337600,MSFT
02-12-2021,330.2999878,333.4899902,327.7999878,329.4899902,326.4312744,30766000,MSFT
03-12-2021,331.9899902,332.7000122,318.0299988,323.0100098,320.0114441,41779300,MSFT
06-12-2021,323.9500122,327.4500122,319.230011,326.1900024,323.1618958,30032600,MSFT
07-12-2021,331.6400146,335.7999878,330.1000061,334.9200134,331.8108826,31021900,MSFT
08-12-2021,335.3099976,335.5,330.7999878,334.9700012,331.8604126,24761000,MSFT
09-12-2021,334.4100037,336.4899902,332.1199951,333.1000061,330.007782,22214200,MSFT
10-12-2021,334.980011,343,334.7900085,342.5400085,339.360199,38095700,MSFT
13-12-2021,340.6799927,343.7900085,339.0799866,339.3999939,336.2492676,28899400,MSFT
14-12-2021,333.2200012,334.6400146,324.1099854,328.3399963,325.2919617,44438700,MSFT
15-12-2021,328.6099854,335.1900024,324.5,334.6499939,331.5433655,35381100,MSFT
16-12-2021,335.7099915,336.7600098,323.019989,324.8999939,321.8839111,35034800,MSFT
17-12-2021,320.8800049,324.9200134,317.25,323.7999878,320.7940979,47750300,MSFT
